Age,Gender,Marital_Status,Dependents,Employment_Type,Industry,Monthly_Income,Monthly_Expense,Existing_EMI,Loan_Amount,Interest_Rate,Tenure_Months,New_EMI,Credit_Limit,Used_Credit,Credit_Score,Delinquencies_12M,Property_Value,Call_Count,Complaint_Flag,Review_Sentiment,Review_Length,Defaulted
38,Female,Single,1,Salaried,Healthcare,63057.0,17392.0,13468.0,1009170.0,10.76,24,46923.0,441040.0,61465.0,742,1,1157047.0,2,0,-0.402,51,1
42,Female,Married,1,Salaried,Hospitality,60248.0,7582.0,4632.0,913159.0,10.34,36,29611.0,381463.0,136323.0,747,0,1854644.0,2,0,0.907,61,1
45,Male,Married,0,Contract,IT,29121.0,12405.0,8565.0,380543.0,12.37,24,17979.0,191730.0,122450.0,713,1,912559.0,0,0,-0.058,87,1
31,Female,Single,0,Salaried,Manufacturing,64549.0,9982.0,11629.0,1401960.0,11.16,24,65447.0,173949.0,106112.0,728,0,3317528.0,0,0,0.943,80,1
43,Female,Married,1,Salaried,Hospitality,159204.0,50629.0,9521.0,3000000.0,10.06,36,96886.0,515346.0,176670.0,676,0,6000000.0,1,0,0.431,33,1
52,Female,Married,0,Salaried,IT,92467.0,40796.0,7353.0,799196.0,8.99,18,47627.0,206352.0,172922.0,609,0,1163883.0,1,0,0.149,48,1
48,Male,Divorced,0,Self-Employed,Manufacturing,57147.0,26995.0,4640.0,351752.0,10.99,36,11514.0,216318.0,113984.0,755,0,691364.0,5,1,-0.498,77,1
22,Female,Single,0,Self-Employed,Healthcare,30890.0,6000.0,12526.0,393574.0,10.8,24,18307.0,165035.0,53913.0,821,0,783876.0,2,0,0.313,73,1
21,Female,Married,0,Salaried,Govt,45850.0,13741.0,5857.0,457383.0,10.66,60,9867.0,327277.0,245059.0,711,0,798760.0,3,0,-0.182,74,1
40,Male,Single,2,Self-Employed,Hospitality,136379.0,41791.0,31366.0,2391257.0,8.85,24,109079.0,859837.0,255200.0,719,0,3098286.0,2,0,0.766,142,1
48,Male,Single,2,Self-Employed,Retail,40326.0,12508.0,3169.0,459122.0,14.2,24,22087.0,194515.0,140080.0,643,0,955659.0,1,0,-0.714,83,1
36,Male,Married,0,Salaried,Retail,38111.0,7498.0,2677.0,806238.0,13.62,36,27407.0,214911.0,208631.0,640,0,1252069.0,1,0,0.337,100,1
46,Female,Single,0,Salaried,Govt,140718.0,20099.0,2115.0,3000000.0,9.35,36,95889.0,779911.0,666265.0,701,1,6000000.0,4,0,0.44,44,1
38,Male,Single,0,Self-Employed,Healthcare,229827.0,6000.0,16719.0,3000000.0,9.64,60,63211.0,631605.0,448733.0,775,1,6000000.0,1,0,0.03,55,1
38,Female,Single,2,Salaried,Manufacturing,33569.0,7488.0,8207.0,231147.0,10.86,24,10758.0,168833.0,97158.0,762,0,553396.0,5,0,0.385,39,1
39,Male,Married,2,Salaried,Hospitality,132945.0,26596.0,37751.0,2377496.0,8.8,24,108397.0,769991.0,557060.0,755,0,3046850.0,1,0,0.621,86,1
38,Male,Single,1,Salaried,IT,52954.0,17358.0,18518.0,363745.0,10.26,18,21889.0,160223.0,59941.0,692,1,415951.0,0,0,0.656,30,1
32,Female,Married,1,Salaried,Retail,131723.0,22189.0,11511.0,1802231.0,8.44,24,81872.0,429314.0,211613.0,666,1,4285870.0,3,0,0.803,46,1
54,Female,Single,1,Contract,Retail,38130.0,17043.0,0.0,451720.0,13.74,36,15382.0,130126.0,102214.0,572,1,656447.0,1,1,0.097,80,1
45,Female,Single,1,Salaried,IT,55171.0,6000.0,32108.0,358047.0,10.96,48,9247.0,298274.0,109854.0,765,0,800284.0,2,0,-0.115,52,1
30,Male,Single,3,Salaried,Healthcare,43157.0,11919.0,8436.0,267503.0,15.8,48,7554.0,108546.0,55817.0,624,0,334731.0,0,0,-0.845,89,1
33,Female,Single,0,Salaried,IT,19023.0,6000.0,5204.0,276625.0,9.99,36,8925.0,110858.0,27422.0,588,1,404491.0,2,0,-0.394,125,1
26,Male,Married,0,Self-Employed,Retail,51163.0,17670.0,8422.0,324046.0,9.01,12,28340.0,347440.0,135817.0,679,1,492214.0,3,0,-0.201,111,1
41,Female,Married,3,Self-Employed,IT,109581.0,43779.0,24510.0,1722085.0,10.26,36,55777.0,319426.0,208878.0,787,2,3230587.0,2,0,-0.443,116,1
22,Female,Married,3,Salaried,IT,133474.0,11152.0,24544.0,1979403.0,10.3,12,174297.0,783379.0,686711.0,704,1,3026263.0,2,0,-0.673,73,1
33,Male,Married,1,Salaried,Manufacturing,33321.0,8508.0,7486.0,233512.0,14.38,12,21008.0,69075.0,43333.0,628,0,430985.0,1,0,0.917,100,1
43,Male,Single,0,Self-Employed,Retail,85494.0,23502.0,32586.0,798581.0,11.03,24,37231.0,326589.0,206639.0,651,0,1041438.0,0,0,0.933,34,1
42,Female,Single,0,Self-Employed,Healthcare,59723.0,18268.0,17209.0,1141198.0,9.45,36,36529.0,252997.0,196666.0,689,0,1414803.0,1,0,0.648,94,1
42,Male,Single,0,Salaried,IT,27389.0,9721.0,14256.0,455286.0,10.6,24,21135.0,181504.0,138396.0,736,0,554335.0,1,0,0.707,74,1
24,Male,Single,2,Salaried,Govt,113383.0,37933.0,13631.0,858303.0,7.5,48,20753.0,326972.0,154303.0,716,0,1342382.0,3,0,0.969,97,1
44,Male,Single,1,Salaried,Manufacturing,28531.0,17596.0,7789.0,532399.0,10.99,18,32218.0,208978.0,68101.0,750,1,743328.0,1,0,-0.17,60,1
35,Male,Married,2,Self-Employed,Hospitality,58348.0,17313.0,14103.0,376964.0,7.5,36,11726.0,290387.0,179303.0,663,0,416638.0,2,0,0.705,85,1
49,Male,Married,2,Salaried,IT,65303.0,6000.0,16180.0,1130043.0,9.56,24,51917.0,437864.0,165897.0,728,0,2177494.0,0,0,-0.322,58,1
33,Male,Married,1,Self-Employed,IT,65315.0,13752.0,5995.0,1401505.0,9.95,24,64640.0,386357.0,281215.0,815,0,1932815.0,2,0,-0.765,101,1
53,Female,Married,1,Salaried,Healthcare,84046.0,12735.0,22111.0,1346717.0,10.38,24,62381.0,350106.0,237199.0,709,0,1805658.0,0,0,0.491,95,1
40,Female,Married,2,Salaried,Manufacturing,151297.0,62390.0,47439.0,2632085.0,13.13,60,60063.0,645815.0,300416.0,614,3,6000000.0,0,0,-0.862,60,1
43,Male,Married,0,Salaried,IT,52431.0,7381.0,5628.0,1086522.0,10.55,48,27845.0,326366.0,86196.0,721,0,2036623.0,1,0,-0.518,76,1
32,Male,Single,2,Salaried,Healthcare,86807.0,27805.0,11169.0,1786469.0,9.3,60,37345.0,450931.0,105112.0,671,1,2570648.0,1,1,-0.21,98,1
32,Male,Married,0,Salaried,IT,50417.0,6000.0,17594.0,1089267.0,8.68,12,95096.0,253429.0,197874.0,684,0,1536135.0,0,1,-0.353,86,1
32,Male,Married,2,Self-Employed,Healthcare,75544.0,8809.0,21609.0,1638035.0,10.35,36,53124.0,480937.0,160905.0,718,0,2487697.0,7,1,-0.927,88,1
46,Female,Married,0,Self-Employed,Hospitality,106980.0,20840.0,14556.0,811172.0,8.9,24,37021.0,248480.0,109596.0,699,0,1352819.0,2,0,0.829,45,1
32,Male,Married,0,Contract,IT,77149.0,13551.0,9168.0,1326828.0,9.73,36,42645.0,591496.0,285677.0,783,0,1561323.0,0,0,-0.925,72,1
35,Female,Married,3,Salaried,Manufacturing,26767.0,14634.0,2793.0,388212.0,9.05,48,9670.0,169054.0,107948.0,694,0,442325.0,1,0,-0.02,98,1
48,Male,Married,1,Salaried,Manufacturing,68349.0,17148.0,3116.0,942080.0,10.91,36,30802.0,220680.0,189440.0,773,0,1538546.0,1,0,0.588,88,1
41,Male,Married,0,Salaried,Hospitality,64850.0,18521.0,9081.0,1049150.0,12.03,60,23354.0,411404.0,298806.0,625,1,2010397.0,4,0,-0.147,82,1
33,Female,Single,1,Self-Employed,Manufacturing,100674.0,41319.0,15217.0,2174575.0,7.59,48,52670.0,718692.0,214242.0,710,1,3141212.0,3,0,0.866,91,1
39,Male,Single,1,Salaried,Retail,24507.0,6000.0,4612.0,247922.0,10.02,48,6290.0,82416.0,73458.0,743,0,512962.0,3,0,0.779,51,1
22,Male,Married,0,Salaried,IT,47186.0,22435.0,24734.0,1026161.0,9.52,48,25790.0,226438.0,129292.0,787,2,1203520.0,0,0,-0.142,109,1
21,Female,Single,3,Salaried,Hospitality,106285.0,34519.0,25151.0,756096.0,9.37,24,34671.0,292715.0,166302.0,664,0,1687171.0,2,0,0.979,108,1
40,Female,Married,2,Salaried,IT,111286.0,19325.0,38913.0,887290.0,8.22,18,52564.0,820888.0,313604.0,695,0,1615900.0,4,1,-0.809,80,1
64,Male,Single,0,Salaried,Manufacturing,59554.0,25687.0,26203.0,526638.0,10.35,24,24387.0,277042.0,68798.0,671,0,1185732.0,0,0,0.933,89,1
56,Male,Married,0,Self-Employed,Govt,40825.0,16176.0,17064.0,367105.0,10.74,36,11973.0,271778.0,114938.0,804,0,593784.0,0,0,0.763,47,1
61,Male,Single,2,Salaried,Govt,30485.0,6000.0,5662.0,661310.0,13.57,48,17929.0,170101.0,109848.0,625,0,854183.0,5,1,0.184,116,1
42,Male,Married,0,Salaried,IT,103062.0,31704.0,18698.0,2149372.0,13.85,36,73304.0,643958.0,482419.0,559,0,2895031.0,0,0,0.737,82,1
31,Male,Divorced,2,Salaried,Healthcare,61254.0,6943.0,15709.0,852578.0,10.08,18,51235.0,276547.0,126255.0,723,0,1807947.0,2,0,-0.404,33,1
47,Female,Single,0,Salaried,IT,37335.0,24917.0,5395.0,389473.0,8.88,12,34038.0,292180.0,142106.0,748,0,521202.0,1,0,0.533,50,1
24,Male,Married,0,Self-Employed,IT,119813.0,28908.0,41870.0,1338560.0,9.56,36,42916.0,938454.0,188466.0,714,2,3085008.0,6,0,0.162,29,1
21,Female,Married,1,Salaried,Healthcare,48014.0,29086.0,3527.0,495012.0,10.09,48,12576.0,327682.0,265900.0,717,1,1156267.0,2,0,-0.349,56,1
40,Male,Single,1,Contract,IT,38227.0,6000.0,11421.0,744644.0,13.45,48,20144.0,214779.0,205549.0,604,0,938774.0,1,0,0.018,111,1
46,Female,Married,2,Self-Employed,Govt,85166.0,6000.0,9843.0,1493299.0,11.75,36,49421.0,284289.0,7136.0,538,1,2275064.0,1,0,0.405,55,1
43,Female,Married,1,Self-Employed,Healthcare,65678.0,18181.0,6331.0,1171007.0,9.75,48,29559.0,145567.0,37971.0,766,0,2739487.0,3,0,0.346,47,1
52,Female,Divorced,2,Salaried,IT,76322.0,23595.0,0.0,734371.0,11.59,48,19191.0,293157.0,50305.0,628,0,1415554.0,1,0,0.149,128,0
44,Female,Single,2,Salaried,Govt,261006.0,62786.0,13581.0,3000000.0,11.03,36,98259.0,662367.0,45330.0,598,0,5850706.0,3,0,0.798,98,1
39,Male,Married,0,Salaried,Hospitality,24137.0,6030.0,4089.0,430687.0,11.89,48,11318.0,109807.0,82269.0,785,0,813793.0,1,0,0.537,87,1
25,Female,Single,0,Contract,Manufacturing,64593.0,9483.0,14251.0,818300.0,10.77,36,26701.0,153751.0,83775.0,659,0,1311291.0,2,0,-0.89,67,1
35,Female,Married,1,Contract,Healthcare,69264.0,14277.0,9361.0,433872.0,15.56,24,21153.0,482252.0,424341.0,620,1,575304.0,5,0,0.472,109,1
24,Female,Single,2,Self-Employed,IT,144579.0,6000.0,63106.0,2266230.0,10.07,48,57554.0,494257.0,250804.0,806,0,2921493.0,2,0,-0.533,92,1
32,Female,Single,1,Salaried,Govt,70977.0,21579.0,12982.0,1057528.0,10.17,48,26908.0,567671.0,401992.0,716,0,1732685.0,1,0,0.522,88,1
55,Male,Single,1,Self-Employed,Govt,38658.0,6000.0,2332.0,255350.0,8.2,18,15125.0,113082.0,49548.0,679,0,284452.0,2,0,0.211,125,1
38,Female,Single,2,Salaried,Retail,99340.0,20544.0,6798.0,963148.0,10.27,60,20592.0,675677.0,434246.0,794,1,1911134.0,2,0,0.022,114,1
40,Male,Married,0,Self-Employed,IT,35203.0,6000.0,10495.0,395071.0,7.82,12,34334.0,157301.0,59279.0,674,0,458354.0,4,0,-0.344,41,1
29,Female,Married,0,Salaried,Manufacturing,133849.0,49025.0,42067.0,1427298.0,13.67,36,48553.0,1005586.0,473319.0,583,1,2405627.0,1,0,0.393,97,1
62,Female,Married,2,Self-Employed,Govt,83403.0,39576.0,844.0,1339319.0,12.01,36,44491.0,311996.0,229661.0,649,1,2940659.0,0,0,0.66,77,1
21,Male,Married,0,Self-Employed,Govt,52548.0,6000.0,8820.0,1034121.0,9.03,48,25749.0,328959.0,203138.0,654,0,1683361.0,1,0,0.046,15,1
27,Male,Married,1,Salaried,Govt,151363.0,42417.0,19502.0,987428.0,10.94,48,25492.0,365168.0,214553.0,754,0,2036344.0,2,0,0.967,59,1
45,Male,Married,2,Salaried,Healthcare,109399.0,36427.0,26625.0,1538734.0,10.29,24,71211.0,418250.0,235650.0,725,0,3646503.0,2,1,-0.667,64,1
28,Female,Single,0,Salaried,IT,30191.0,12009.0,15324.0,601491.0,13.52,48,16292.0,185768.0,11072.0,603,0,1401548.0,1,0,0.447,52,1
28,Male,Married,0,Contract,Retail,59187.0,17520.0,7920.0,980203.0,14.29,60,22955.0,206060.0,34319.0,636,0,2230379.0,1,0,-0.757,90,1
41,Male,Single,1,Self-Employed,Manufacturing,52663.0,9496.0,9803.0,1101906.0,7.5,24,49585.0,377468.0,218045.0,751,0,2107972.0,1,0,-0.549,71,1
43,Male,Married,1,Self-Employed,Healthcare,33454.0,10332.0,5047.0,462077.0,11.22,36,15176.0,78410.0,61437.0,792,0,995342.0,1,0,0.764,92,1
43,Female,Married,3,Salaried,Govt,63696.0,22823.0,15862.0,650086.0,9.88,36,20940.0,501838.0,350240.0,653,0,1245110.0,3,0,0.473,102,1
27,Female,Married,1,Salaried,IT,38482.0,11748.0,7575.0,486368.0,10.68,60,10497.0,270829.0,193995.0,606,1,864977.0,3,0,-0.243,37,1
44,Male,Single,4,Salaried,Retail,135813.0,48844.0,51123.0,992141.0,13.11,24,47219.0,737108.0,226631.0,622,0,1895345.0,1,1,0.367,151,1
24,Male,Single,0,Salaried,IT,86586.0,42017.0,17930.0,1554721.0,12.33,36,51884.0,193430.0,46271.0,763,1,2909415.0,4,0,-0.709,103,1
27,Male,Married,0,Self-Employed,Manufacturing,38018.0,23167.0,6225.0,374595.0,8.34,48,9205.0,206270.0,91565.0,669,0,701163.0,0,0,-0.528,29,1
26,Male,Married,0,Salaried,Manufacturing,114420.0,56982.0,23368.0,2427245.0,10.97,48,62698.0,291034.0,64996.0,579,0,4343682.0,3,0,0.39,104,1
39,Male,Married,1,Salaried,Manufacturing,37945.0,10617.0,11883.0,794087.0,13.36,18,48928.0,258490.0,112927.0,572,0,991106.0,0,1,-0.279,90,1
32,Male,Married,3,Salaried,Hospitality,131136.0,48143.0,25242.0,1196039.0,9.27,48,29917.0,843601.0,148456.0,549,1,1584573.0,1,1,-0.972,81,1
26,Female,Single,1,Contract,Manufacturing,36129.0,6000.0,9067.0,525666.0,12.96,24,24981.0,101317.0,37936.0,534,0,852862.0,1,0,0.213,73,1
36,Male,Married,2,Salaried,Healthcare,146955.0,14743.0,38253.0,1433037.0,9.95,36,46206.0,746103.0,351464.0,669,0,2100489.0,1,0,-0.12,86,1
26,Male,Single,1,Salaried,Manufacturing,25652.0,6000.0,941.0,422228.0,11.41,60,9267.0,177158.0,109264.0,805,0,500868.0,2,0,-0.454,51,1
31,Male,Single,0,Self-Employed,IT,93498.0,22191.0,15891.0,1378693.0,10.35,18,83023.0,527643.0,197126.0,682,0,2409523.0,3,0,0.086,102,1
33,Female,Married,2,Contract,Hospitality,41716.0,18756.0,6477.0,503800.0,15.45,24,24535.0,276994.0,114742.0,670,2,909175.0,0,0,0.414,78,1
30,Female,Single,0,Salaried,IT,45942.0,12571.0,6487.0,623923.0,10.74,36,20350.0,134007.0,65413.0,675,0,1052451.0,1,0,0.906,73,1
26,Male,Married,0,Salaried,Govt,149515.0,17075.0,51186.0,2015351.0,14.01,60,46904.0,571363.0,380748.0,626,0,2716753.0,1,0,-0.714,68,1
24,Male,Married,1,Salaried,Hospitality,71434.0,16280.0,6765.0,1289855.0,8.83,36,40915.0,296989.0,149805.0,756,0,2930407.0,1,0,0.548,48,1
47,Male,Divorced,3,Salaried,Govt,126066.0,16025.0,9586.0,1585820.0,10.21,48,40381.0,740991.0,635286.0,726,0,2071351.0,2,0,0.478,84,1
21,Female,Married,0,Salaried,Healthcare,84199.0,6764.0,33484.0,553271.0,9.12,48,13800.0,247292.0,106517.0,673,0,1286621.0,2,0,-0.652,57,1
39,Female,Married,1,Contract,Manufacturing,43865.0,6000.0,6114.0,733035.0,13.87,12,65772.0,220408.0,115252.0,633,2,1104510.0,6,0,0.436,53,1
28,Female,Single,2,Salaried,Hospitality,75751.0,41943.0,4467.0,1356455.0,12.48,36,45365.0,208664.0,63558.0,629,0,2606223.0,0,0,-0.826,94,1
29,Female,Single,2,Salaried,Healthcare,359342.0,150478.0,40787.0,3000000.0,10.53,12,264488.0,1500000.0,550742.0,739,0,3477941.0,1,0,0.352,39,1
21,Male,Married,1,Salaried,Retail,57252.0,24011.0,18047.0,825278.0,11.85,36,27352.0,174823.0,90221.0,664,0,1786161.0,2,0,0.33,76,1
36,Male,Single,2,Salaried,Healthcare,115666.0,9837.0,27584.0,914589.0,13.46,60,21026.0,432713.0,192276.0,603,2,2155501.0,0,0,0.09,42,1
30,Female,Married,1,Salaried,IT,142521.0,10348.0,18507.0,1045108.0,10.37,24,48405.0,1028859.0,543896.0,697,0,2000318.0,2,0,-0.657,65,1
47,Female,Married,2,Salaried,IT,143335.0,40634.0,28761.0,1653712.0,8.26,36,52020.0,984510.0,965631.0,689,0,3904217.0,0,0,-0.034,79,1
30,Male,Married,1,Salaried,Healthcare,57268.0,21219.0,12729.0,601826.0,12.04,36,20001.0,243637.0,58004.0,586,1,1275886.0,4,0,0.522,68,1
25,Male,Single,1,Contract,Healthcare,243565.0,98690.0,2378.0,3000000.0,12.95,36,101010.0,1500000.0,618758.0,557,2,3581831.0,1,0,0.455,40,1
24,Male,Single,2,Self-Employed,Retail,58593.0,12322.0,3739.0,783153.0,8.72,48,19385.0,452261.0,89634.0,757,0,1261160.0,2,0,-0.341,67,1
46,Male,Married,2,Salaried,Healthcare,133814.0,53599.0,32869.0,1914194.0,11.02,36,62686.0,552072.0,261944.0,772,2,3964700.0,0,0,-0.821,69,1
42,Female,Married,1,Self-Employed,Healthcare,35619.0,15005.0,6058.0,728953.0,7.68,36,22735.0,87169.0,72184.0,721,0,845568.0,1,0,0.865,42,1
33,Male,Single,4,Self-Employed,Healthcare,51885.0,14106.0,0.0,859343.0,9.98,36,27721.0,317528.0,118627.0,753,0,1480014.0,1,0,0.539,25,1
53,Female,Divorced,2,Salaried,Hospitality,63380.0,34344.0,4481.0,792510.0,9.72,24,36468.0,323383.0,121742.0,656,0,1710039.0,2,0,0.928,83,1
39,Female,Married,2,Self-Employed,Manufacturing,58070.0,19721.0,18030.0,1006365.0,7.5,18,59287.0,346235.0,189695.0,771,1,2354260.0,0,0,0.824,28,1
33,Male,Single,0,Salaried,IT,51062.0,19078.0,15507.0,898789.0,7.76,24,40551.0,359231.0,253800.0,700,0,1774073.0,1,0,-0.821,87,1
41,Female,Married,1,Salaried,Healthcare,64567.0,29099.0,7831.0,776905.0,13.3,36,26289.0,506587.0,411679.0,512,0,1537391.0,2,0,0.896,47,1
25,Male,Married,0,Self-Employed,Retail,110712.0,24252.0,23355.0,1877391.0,9.62,18,112422.0,663528.0,303808.0,615,0,2531816.0,2,0,0.274,95,1
37,Male,Married,1,Salaried,Govt,68398.0,12529.0,23532.0,700401.0,10.69,48,17997.0,493670.0,139563.0,767,0,823773.0,0,0,-0.984,52,1
25,Male,Single,4,Salaried,Manufacturing,142748.0,21868.0,56550.0,2153322.0,12.06,48,56769.0,1070638.0,618001.0,512,0,4525660.0,5,0,-0.557,122,1
42,Female,Married,4,Self-Employed,Manufacturing,84357.0,17042.0,21425.0,1369578.0,11.5,36,45163.0,367969.0,266951.0,709,0,2143948.0,2,0,-0.219,65,1
42,Male,Married,3,Salaried,IT,52694.0,22232.0,19292.0,703694.0,9.7,60,14848.0,383118.0,213078.0,777,0,1439850.0,1,0,0.124,34,1
35,Male,Single,1,Self-Employed,Govt,134484.0,6000.0,18054.0,1043988.0,10.11,48,26533.0,1031200.0,384257.0,720,0,1527436.0,2,0,0.417,63,1
47,Female,Married,3,Contract,Manufacturing,155177.0,34508.0,83417.0,3000000.0,14.47,18,186407.0,636847.0,549371.0,741,0,6000000.0,0,0,0.711,78,1
29,Male,Married,0,Salaried,Hospitality,59009.0,17235.0,3102.0,978524.0,12.04,12,86959.0,455693.0,161904.0,648,0,1356289.0,1,0,0.545,87,1
41,Female,Single,3,Salaried,Healthcare,72845.0,26345.0,1789.0,1229997.0,11.94,24,57866.0,303934.0,211260.0,692,1,2854617.0,2,0,-0.946,71,1
35,Female,Single,0,Salaried,IT,32350.0,6000.0,14768.0,658344.0,11.14,60,14360.0,97210.0,43057.0,482,1,1569341.0,5,0,0.65,34,1
24,Male,Married,1,Self-Employed,Healthcare,98730.0,42295.0,9463.0,713437.0,13.15,36,24090.0,719878.0,664591.0,538,0,965833.0,0,0,0.975,71,1
43,Female,Married,3,Salaried,Healthcare,32601.0,6000.0,7485.0,494800.0,10.94,18,29931.0,152219.0,79347.0,693,0,741824.0,1,0,0.873,84,1
53,Female,Married,3,Salaried,IT,116696.0,30093.0,31082.0,997796.0,7.76,48,24247.0,804703.0,206674.0,824,0,1735774.0,3,0,0.737,53,1
67,Female,Married,0,Contract,Manufacturing,54289.0,17440.0,11546.0,456769.0,12.29,24,21564.0,293307.0,37835.0,646,0,886374.0,1,0,0.694,30,1
37,Male,Married,2,Self-Employed,Govt,116689.0,21632.0,51138.0,1964188.0,12.77,48,52470.0,655866.0,363205.0,608,1,4535028.0,3,0,0.713,38,1
41,Male,Single,1,Salaried,Healthcare,82309.0,26288.0,17956.0,1211575.0,9.62,48,30508.0,316212.0,94832.0,703,0,2295770.0,3,0,0.579,49,1
53,Female,Married,2,Salaried,Retail,81787.0,15990.0,16281.0,576859.0,11.64,36,19061.0,293736.0,116199.0,703,0,1224651.0,0,0,0.794,76,1
26,Female,Married,2,Self-Employed,IT,42334.0,6000.0,9831.0,422545.0,9.2,48,10555.0,157669.0,98708.0,730,0,632352.0,3,0,-0.678,105,1
51,Male,Married,1,Salaried,Manufacturing,91953.0,44647.0,27789.0,1728614.0,10.05,36,55818.0,269985.0,150093.0,697,1,2764713.0,4,0,-0.928,51,1
21,Male,Married,1,Self-Employed,Hospitality,50702.0,12225.0,2116.0,574449.0,10.6,24,26667.0,311189.0,101324.0,777,0,642421.0,0,0,-0.284,104,1
24,Female,Single,0,Salaried,Healthcare,38198.0,6000.0,15212.0,776403.0,12.88,60,17618.0,129832.0,61190.0,598,0,1297132.0,5,0,-0.794,75,1
34,Female,Married,2,Salaried,Hospitality,42546.0,8444.0,16255.0,484131.0,10.04,60,10296.0,157179.0,151956.0,655,0,986688.0,1,0,-0.103,65,1
32,Male,Single,1,Salaried,IT,29562.0,8776.0,6945.0,559316.0,12.09,48,14754.0,124637.0,61415.0,557,1,1252366.0,1,0,-0.684,69,1
