Customer_ID,Generation_Segment_Instructor_Only
CUST00745,Digital Regular
CUST00530,Deal Seeker
CUST00803,Disengaged
CUST01224,Digital Regular
CUST01979,Occasional Big Spender
CUST01906,Digital Regular
CUST01700,Occasional Big Spender
CUST01545,Digital Regular
CUST01314,Premium Loyalist
CUST00307,Deal Seeker
CUST01667,Disengaged
CUST00863,Occasional Big Spender
CUST01567,Premium Loyalist
CUST00531,Occasional Big Spender
CUST00655,Disengaged
CUST01260,Disengaged
CUST00234,Digital Regular
CUST00121,Digital Regular
CUST01698,Occasional Big Spender
CUST00950,Deal Seeker
CUST00618,Deal Seeker
CUST01179,Deal Seeker
CUST00308,Digital Regular
CUST00136,Premium Loyalist
CUST00555,Premium Loyalist
CUST01674,Premium Loyalist
CUST00584,Deal Seeker
CUST01641,Occasional Big Spender
CUST00671,Premium Loyalist
CUST00835,Occasional Big Spender
CUST00110,Disengaged
CUST01165,Premium Loyalist
CUST01960,Digital Regular
CUST01465,Digital Regular
CUST01729,Premium Loyalist
CUST01243,Deal Seeker
CUST00212,Digital Regular
CUST01768,Premium Loyalist
CUST01121,Digital Regular
CUST00680,Deal Seeker
CUST01951,Disengaged
CUST01839,Occasional Big Spender
CUST00412,Digital Regular
CUST01325,Deal Seeker
CUST00783,Digital Regular
CUST01346,Digital Regular
CUST00875,Occasional Big Spender
CUST01653,Deal Seeker
CUST01279,Disengaged
CUST00786,Deal Seeker
CUST01819,Digital Regular
CUST01199,Deal Seeker
CUST00808,Premium Loyalist
CUST00713,Disengaged
CUST01991,Premium Loyalist
CUST01660,Premium Loyalist
CUST01191,Digital Regular
CUST01226,Disengaged
CUST00603,Disengaged
CUST00271,Premium Loyalist
CUST01385,Disengaged
CUST00232,Deal Seeker
CUST00050,Premium Loyalist
CUST00463,Disengaged
CUST01106,Occasional Big Spender
CUST00856,Digital Regular
CUST00694,Deal Seeker
CUST01552,Digital Regular
CUST01873,Disengaged
CUST00527,Disengaged
CUST00174,Disengaged
CUST00721,Digital Regular
CUST00415,Premium Loyalist
CUST00238,Occasional Big Spender
CUST01473,Premium Loyalist
CUST01336,Disengaged
CUST01064,Digital Regular
CUST00024,Disengaged
CUST01767,Disengaged
CUST00064,Occasional Big Spender
CUST00290,Premium Loyalist
CUST00189,Occasional Big Spender
CUST00702,Deal Seeker
CUST01815,Disengaged
CUST01138,Deal Seeker
CUST00355,Digital Regular
CUST00417,Premium Loyalist
CUST01246,Deal Seeker
CUST00931,Deal Seeker
CUST00197,Digital Regular
CUST00580,Deal Seeker
CUST01135,Disengaged
CUST01814,Deal Seeker
CUST01935,Occasional Big Spender
CUST00434,Disengaged
CUST00101,Disengaged
CUST01655,Disengaged
CUST00395,Premium Loyalist
CUST01939,Deal Seeker
CUST00221,Deal Seeker
CUST01676,Disengaged
CUST01498,Digital Regular
CUST01785,Deal Seeker
CUST00345,Occasional Big Spender
CUST01028,Deal Seeker
CUST00889,Premium Loyalist
CUST01351,Occasional Big Spender
CUST00553,Deal Seeker
CUST00744,Premium Loyalist
CUST01542,Deal Seeker
CUST00539,Premium Loyalist
CUST00907,Digital Regular
CUST01395,Disengaged
CUST00116,Disengaged
CUST00830,Deal Seeker
CUST01938,Digital Regular
CUST00809,Digital Regular
CUST01311,Deal Seeker
CUST01005,Digital Regular
CUST00306,Digital Regular
CUST01101,Premium Loyalist
CUST00480,Deal Seeker
CUST01424,Deal Seeker
CUST01076,Deal Seeker
CUST00571,Deal Seeker
CUST00619,Premium Loyalist
CUST01898,Deal Seeker
CUST01266,Disengaged
CUST00079,Digital Regular
CUST01912,Premium Loyalist
CUST00033,Deal Seeker
CUST01538,Occasional Big Spender
CUST01034,Disengaged
CUST01563,Disengaged
CUST00352,Premium Loyalist
CUST00164,Premium Loyalist
CUST00204,Premium Loyalist
CUST01054,Premium Loyalist
CUST01365,Digital Regular
CUST01967,Occasional Big Spender
CUST00496,Digital Regular
CUST01625,Deal Seeker
CUST01966,Premium Loyalist
CUST01963,Digital Regular
CUST00611,Digital Regular
CUST00433,Occasional Big Spender
CUST01492,Disengaged
CUST00219,Disengaged
CUST01931,Digital Regular
CUST01466,Occasional Big Spender
CUST00631,Disengaged
CUST01382,Premium Loyalist
CUST01302,Digital Regular
CUST00060,Premium Loyalist
CUST00299,Occasional Big Spender
CUST01711,Occasional Big Spender
CUST00074,Deal Seeker
CUST00163,Deal Seeker
CUST01275,Premium Loyalist
CUST01594,Deal Seeker
CUST01434,Premium Loyalist
CUST01613,Occasional Big Spender
CUST00592,Digital Regular
CUST00317,Deal Seeker
CUST00046,Disengaged
CUST01720,Disengaged
CUST01832,Disengaged
CUST00428,Disengaged
CUST00582,Digital Regular
CUST00077,Deal Seeker
CUST01917,Digital Regular
CUST01415,Premium Loyalist
CUST00781,Deal Seeker
CUST01920,Disengaged
CUST01174,Occasional Big Spender
CUST01320,Disengaged
CUST00938,Premium Loyalist
CUST00031,Occasional Big Spender
CUST01092,Digital Regular
CUST01616,Deal Seeker
CUST01230,Premium Loyalist
CUST00975,Deal Seeker
CUST01085,Disengaged
CUST00515,Deal Seeker
CUST01551,Premium Loyalist
CUST01568,Premium Loyalist
CUST01811,Deal Seeker
CUST01574,Disengaged
CUST00045,Disengaged
CUST01687,Digital Regular
CUST00169,Deal Seeker
CUST00304,Digital Regular
CUST00991,Digital Regular
CUST00556,Deal Seeker
CUST01925,Deal Seeker
CUST00608,Premium Loyalist
CUST01619,Disengaged
CUST00758,Disengaged
CUST00439,Occasional Big Spender
CUST00583,Premium Loyalist
CUST01519,Premium Loyalist
CUST00528,Disengaged
CUST00343,Disengaged
CUST01737,Disengaged
CUST00368,Occasional Big Spender
CUST00186,Digital Regular
CUST01117,Premium Loyalist
CUST01755,Deal Seeker
CUST01426,Deal Seeker
CUST00301,Occasional Big Spender
CUST01904,Premium Loyalist
CUST00833,Deal Seeker
CUST00544,Disengaged
CUST01601,Disengaged
CUST00351,Digital Regular
CUST01933,Occasional Big Spender
CUST01511,Premium Loyalist
CUST00979,Digital Regular
CUST00176,Premium Loyalist
CUST00483,Digital Regular
CUST01413,Disengaged
CUST01611,Deal Seeker
CUST00124,Deal Seeker
CUST00600,Digital Regular
CUST01795,Disengaged
CUST01746,Digital Regular
CUST01379,Digital Regular
CUST01186,Disengaged
CUST00486,Deal Seeker
CUST00332,Deal Seeker
CUST00789,Occasional Big Spender
CUST00195,Premium Loyalist
CUST00638,Occasional Big Spender
CUST00472,Digital Regular
CUST01714,Disengaged
CUST00323,Deal Seeker
CUST01197,Deal Seeker
CUST00267,Deal Seeker
CUST01544,Premium Loyalist
CUST01804,Occasional Big Spender
CUST00068,Deal Seeker
CUST01738,Deal Seeker
CUST01593,Disengaged
CUST01564,Disengaged
CUST00481,Deal Seeker
CUST01757,Premium Loyalist
CUST01913,Disengaged
CUST01441,Deal Seeker
CUST01461,Occasional Big Spender
CUST00888,Premium Loyalist
CUST00423,Premium Loyalist
CUST01675,Occasional Big Spender
CUST01450,Deal Seeker
CUST00765,Disengaged
CUST00520,Disengaged
CUST01432,Digital Regular
CUST00614,Disengaged
CUST01531,Deal Seeker
CUST01783,Deal Seeker
CUST01659,Deal Seeker
CUST00454,Premium Loyalist
CUST00731,Deal Seeker
CUST00535,Premium Loyalist
CUST00966,Digital Regular
CUST01285,Disengaged
CUST01740,Occasional Big Spender
CUST00262,Disengaged
CUST00536,Deal Seeker
CUST00969,Digital Regular
CUST00241,Disengaged
CUST00820,Deal Seeker
CUST00693,Deal Seeker
CUST00421,Digital Regular
CUST01086,Occasional Big Spender
CUST01999,Disengaged
CUST00366,Deal Seeker
CUST01023,Disengaged
CUST01241,Disengaged
CUST00589,Deal Seeker
CUST00737,Deal Seeker
CUST01762,Premium Loyalist
CUST00942,Disengaged
CUST00072,Deal Seeker
CUST01408,Premium Loyalist
CUST00260,Digital Regular
CUST00052,Premium Loyalist
CUST00199,Deal Seeker
CUST01789,Disengaged
CUST00651,Deal Seeker
CUST00333,Occasional Big Spender
CUST01360,Premium Loyalist
CUST00594,Digital Regular
CUST01392,Disengaged
CUST01801,Digital Regular
CUST01315,Premium Loyalist
CUST01112,Deal Seeker
CUST01007,Disengaged
CUST01327,Deal Seeker
CUST00427,Deal Seeker
CUST01559,Digital Regular
CUST01294,Deal Seeker
CUST00591,Disengaged
CUST01958,Premium Loyalist
CUST01977,Digital Regular
CUST01133,Premium Loyalist
CUST00986,Disengaged
CUST00399,Digital Regular
CUST01512,Deal Seeker
CUST00437,Premium Loyalist
CUST00193,Premium Loyalist
CUST01436,Disengaged
CUST00615,Deal Seeker
CUST01494,Occasional Big Spender
CUST00577,Disengaged
CUST00987,Deal Seeker
CUST01433,Premium Loyalist
CUST00707,Occasional Big Spender
CUST01259,Digital Regular
CUST00142,Digital Regular
CUST01358,Digital Regular
CUST00003,Disengaged
CUST01222,Deal Seeker
CUST01870,Disengaged
CUST01623,Disengaged
CUST00340,Disengaged
CUST01770,Disengaged
CUST01537,Occasional Big Spender
CUST00484,Deal Seeker
CUST00266,Premium Loyalist
CUST00377,Disengaged
CUST00742,Premium Loyalist
CUST01014,Disengaged
CUST00440,Digital Regular
CUST00272,Premium Loyalist
CUST00185,Occasional Big Spender
CUST00940,Premium Loyalist
CUST00245,Digital Regular
CUST00932,Deal Seeker
CUST00446,Occasional Big Spender
CUST00597,Occasional Big Spender
CUST00818,Digital Regular
CUST01273,Deal Seeker
CUST01677,Occasional Big Spender
CUST00487,Digital Regular
CUST00681,Premium Loyalist
CUST00416,Deal Seeker
CUST00274,Digital Regular
CUST01472,Deal Seeker
CUST01830,Digital Regular
CUST01455,Deal Seeker
CUST00251,Digital Regular
CUST00414,Disengaged
CUST01386,Premium Loyalist
CUST01308,Digital Regular
CUST00716,Deal Seeker
CUST00311,Digital Regular
CUST00927,Premium Loyalist
CUST00382,Disengaged
CUST01566,Digital Regular
CUST00426,Disengaged
CUST01875,Disengaged
CUST00533,Deal Seeker
CUST00753,Deal Seeker
CUST00766,Premium Loyalist
CUST01357,Digital Regular
CUST00409,Premium Loyalist
CUST01615,Disengaged
CUST00695,Disengaged
CUST01739,Digital Regular
CUST00549,Occasional Big Spender
CUST00937,Disengaged
CUST01390,Premium Loyalist
CUST01608,Deal Seeker
CUST01940,Premium Loyalist
CUST01482,Premium Loyalist
CUST00183,Digital Regular
CUST01941,Deal Seeker
CUST01161,Premium Loyalist
CUST00171,Deal Seeker
CUST00293,Disengaged
CUST00562,Deal Seeker
CUST01457,Deal Seeker
CUST01877,Deal Seeker
CUST01652,Deal Seeker
CUST00850,Disengaged
CUST00273,Premium Loyalist
CUST01550,Deal Seeker
CUST01035,Deal Seeker
CUST01744,Disengaged
CUST00372,Deal Seeker
CUST01670,Disengaged
CUST00722,Digital Regular
CUST00734,Deal Seeker
CUST00778,Premium Loyalist
CUST00519,Premium Loyalist
CUST00335,Premium Loyalist
CUST00846,Disengaged
CUST01252,Premium Loyalist
CUST01053,Deal Seeker
CUST01924,Deal Seeker
CUST00016,Deal Seeker
CUST00708,Occasional Big Spender
CUST00901,Digital Regular
CUST01980,Deal Seeker
CUST01573,Digital Regular
CUST00904,Digital Regular
CUST00466,Occasional Big Spender
CUST01978,Disengaged
CUST00200,Deal Seeker
CUST01207,Digital Regular
CUST01056,Occasional Big Spender
CUST01132,Digital Regular
CUST01380,Deal Seeker
CUST00999,Disengaged
CUST00728,Premium Loyalist
CUST01772,Occasional Big Spender
CUST01910,Disengaged
CUST01822,Digital Regular
CUST00568,Premium Loyalist
CUST00044,Deal Seeker
CUST00275,Occasional Big Spender
CUST01097,Deal Seeker
CUST00102,Occasional Big Spender
CUST01232,Digital Regular
CUST01722,Deal Seeker
CUST01833,Digital Regular
CUST00108,Deal Seeker
CUST01618,Digital Regular
CUST00498,Digital Regular
CUST01981,Disengaged
CUST00882,Digital Regular
CUST00757,Deal Seeker
CUST00620,Premium Loyalist
CUST01107,Premium Loyalist
CUST01936,Premium Loyalist
CUST00810,Disengaged
CUST01038,Deal Seeker
CUST00073,Disengaged
CUST01284,Digital Regular
CUST01272,Deal Seeker
CUST01335,Disengaged
CUST01459,Disengaged
CUST00482,Deal Seeker
CUST01069,Premium Loyalist
CUST00507,Deal Seeker
CUST01238,Deal Seeker
CUST01862,Disengaged
CUST01990,Premium Loyalist
CUST01477,Digital Regular
CUST01867,Disengaged
CUST01456,Premium Loyalist
CUST00312,Deal Seeker
CUST00963,Premium Loyalist
CUST00406,Disengaged
CUST01331,Occasional Big Spender
CUST01650,Disengaged
CUST00310,Premium Loyalist
CUST00227,Premium Loyalist
CUST01858,Deal Seeker
CUST00711,Disengaged
CUST01944,Premium Loyalist
CUST01384,Disengaged
CUST01786,Disengaged
CUST00149,Digital Regular
CUST01555,Deal Seeker
CUST01957,Digital Regular
CUST00926,Deal Seeker
CUST00943,Premium Loyalist
CUST00837,Occasional Big Spender
CUST00576,Digital Regular
CUST00558,Digital Regular
CUST01236,Premium Loyalist
CUST01361,Digital Regular
CUST01348,Deal Seeker
CUST01162,Digital Regular
CUST01443,Premium Loyalist
CUST00287,Premium Loyalist
CUST01605,Deal Seeker
CUST01058,Deal Seeker
CUST00599,Disengaged
CUST00933,Deal Seeker
CUST01462,Digital Regular
CUST01638,Disengaged
CUST01588,Digital Regular
CUST01041,Premium Loyalist
CUST01231,Deal Seeker
CUST00807,Occasional Big Spender
CUST00905,Disengaged
CUST01680,Digital Regular
CUST01205,Premium Loyalist
CUST00768,Premium Loyalist
CUST00610,Digital Regular
CUST01993,Deal Seeker
CUST01565,Occasional Big Spender
CUST01423,Digital Regular
CUST01011,Digital Regular
CUST00494,Deal Seeker
CUST01321,Digital Regular
CUST00278,Digital Regular
CUST01847,Deal Seeker
CUST00359,Digital Regular
CUST01111,Premium Loyalist
CUST00237,Digital Regular
CUST00552,Premium Loyalist
CUST01868,Deal Seeker
CUST01813,Occasional Big Spender
CUST00209,Premium Loyalist
CUST01387,Occasional Big Spender
CUST01561,Disengaged
CUST00059,Premium Loyalist
CUST00632,Disengaged
CUST01962,Deal Seeker
CUST01860,Deal Seeker
CUST01817,Occasional Big Spender
CUST00364,Premium Loyalist
CUST00506,Occasional Big Spender
CUST01166,Disengaged
CUST01122,Premium Loyalist
CUST01630,Deal Seeker
CUST01217,Deal Seeker
CUST01152,Disengaged
CUST01125,Deal Seeker
CUST01595,Disengaged
CUST00119,Digital Regular
CUST01250,Disengaged
CUST01994,Premium Loyalist
CUST00523,Premium Loyalist
CUST00514,Deal Seeker
CUST00082,Deal Seeker
CUST00916,Disengaged
CUST01019,Premium Loyalist
CUST00381,Digital Regular
CUST01030,Deal Seeker
CUST01689,Digital Regular
CUST00085,Premium Loyalist
CUST01678,Digital Regular
CUST00330,Deal Seeker
CUST00007,Occasional Big Spender
CUST00746,Digital Regular
CUST01554,Deal Seeker
CUST00915,Disengaged
CUST00874,Deal Seeker
CUST00452,Disengaged
CUST00491,Occasional Big Spender
CUST01481,Deal Seeker
CUST00288,Deal Seeker
CUST00949,Disengaged
CUST01986,Disengaged
CUST01369,Deal Seeker
CUST01147,Occasional Big Spender
CUST00706,Digital Regular
CUST01727,Deal Seeker
CUST01702,Disengaged
CUST01629,Deal Seeker
CUST01600,Deal Seeker
CUST01539,Disengaged
CUST01406,Deal Seeker
CUST01651,Deal Seeker
CUST00328,Digital Regular
CUST00443,Occasional Big Spender
CUST00775,Premium Loyalist
CUST01088,Occasional Big Spender
CUST01221,Premium Loyalist
CUST01636,Deal Seeker
CUST00178,Disengaged
CUST01323,Premium Loyalist
CUST00705,Deal Seeker
CUST00087,Occasional Big Spender
CUST01884,Occasional Big Spender
CUST01948,Disengaged
CUST00458,Digital Regular
CUST01829,Disengaged
CUST00055,Occasional Big Spender
CUST01502,Disengaged
CUST00644,Deal Seeker
CUST00678,Digital Regular
CUST00222,Digital Regular
CUST00114,Digital Regular
CUST00983,Occasional Big Spender
CUST01229,Disengaged
CUST01000,Deal Seeker
CUST00175,Premium Loyalist
CUST00782,Disengaged
CUST00590,Premium Loyalist
CUST01560,Disengaged
CUST00019,Disengaged
CUST00424,Premium Loyalist
CUST01344,Digital Regular
CUST00286,Deal Seeker
CUST01584,Deal Seeker
CUST00429,Premium Loyalist
CUST01510,Occasional Big Spender
CUST01319,Occasional Big Spender
CUST00670,Deal Seeker
CUST00032,Disengaged
CUST00941,Deal Seeker
CUST00723,Premium Loyalist
CUST00995,Disengaged
CUST00215,Occasional Big Spender
CUST00814,Digital Regular
CUST00327,Disengaged
CUST00561,Premium Loyalist
CUST01113,Digital Regular
CUST00701,Deal Seeker
CUST01579,Disengaged
CUST01190,Digital Regular
CUST00342,Disengaged
CUST00630,Disengaged
CUST00148,Digital Regular
CUST01310,Disengaged
CUST00361,Disengaged
CUST00084,Premium Loyalist
CUST00049,Occasional Big Spender
CUST00469,Premium Loyalist
CUST00156,Occasional Big Spender
CUST00773,Digital Regular
CUST01240,Premium Loyalist
CUST01201,Digital Regular
CUST01403,Disengaged
CUST01203,Disengaged
CUST01631,Digital Regular
CUST00501,Occasional Big Spender
CUST01765,Premium Loyalist
CUST00180,Occasional Big Spender
CUST01048,Occasional Big Spender
CUST01756,Digital Regular
CUST00951,Digital Regular
CUST01317,Digital Regular
CUST01620,Premium Loyalist
CUST00529,Occasional Big Spender
CUST00347,Disengaged
CUST01388,Deal Seeker
CUST01961,Digital Regular
CUST01051,Digital Regular
CUST01973,Occasional Big Spender
CUST01442,Premium Loyalist
CUST00602,Occasional Big Spender
CUST01282,Deal Seeker
CUST00244,Digital Regular
CUST01337,Deal Seeker
CUST01068,Occasional Big Spender
CUST01476,Digital Regular
CUST00313,Deal Seeker
CUST00436,Deal Seeker
CUST01899,Premium Loyalist
CUST01329,Deal Seeker
CUST00309,Deal Seeker
CUST00431,Disengaged
CUST00661,Deal Seeker
CUST00371,Occasional Big Spender
CUST00567,Occasional Big Spender
CUST00980,Deal Seeker
CUST00182,Disengaged
CUST01363,Digital Regular
CUST00622,Digital Regular
CUST00819,Digital Regular
CUST01193,Disengaged
CUST00953,Deal Seeker
CUST01422,Digital Regular
CUST01841,Premium Loyalist
CUST00923,Digital Regular
CUST01074,Disengaged
CUST00297,Disengaged
CUST00967,Disengaged
CUST00462,Premium Loyalist
CUST01303,Occasional Big Spender
CUST01177,Digital Regular
CUST00378,Digital Regular
CUST00799,Occasional Big Spender
CUST01103,Occasional Big Spender
CUST00106,Occasional Big Spender
CUST00127,Deal Seeker
CUST01996,Occasional Big Spender
CUST00839,Deal Seeker
CUST00356,Digital Regular
CUST01617,Premium Loyalist
CUST00683,Premium Loyalist
CUST00813,Disengaged
CUST01681,Occasional Big Spender
CUST00210,Digital Regular
CUST01493,Digital Regular
CUST00141,Digital Regular
CUST01975,Premium Loyalist
CUST01340,Deal Seeker
CUST01798,Deal Seeker
CUST01575,Premium Loyalist
CUST01182,Premium Loyalist
CUST01394,Premium Loyalist
CUST01816,Digital Regular
CUST00712,Occasional Big Spender
CUST01794,Occasional Big Spender
CUST00893,Deal Seeker
CUST00860,Digital Regular
CUST00011,Deal Seeker
CUST01695,Occasional Big Spender
CUST01428,Premium Loyalist
CUST00283,Deal Seeker
CUST00811,Premium Loyalist
CUST01342,Disengaged
CUST00292,Premium Loyalist
CUST00755,Occasional Big Spender
CUST00627,Occasional Big Spender
CUST00944,Deal Seeker
CUST00862,Occasional Big Spender
CUST00130,Digital Regular
CUST01176,Occasional Big Spender
CUST00324,Digital Regular
CUST01091,Deal Seeker
CUST00844,Deal Seeker
CUST00964,Premium Loyalist
CUST01865,Digital Regular
CUST00866,Disengaged
CUST00922,Disengaged
CUST00696,Digital Regular
CUST00216,Occasional Big Spender
CUST01781,Premium Loyalist
CUST01262,Deal Seeker
CUST00159,Occasional Big Spender
CUST01059,Digital Regular
CUST00989,Deal Seeker
CUST00842,Occasional Big Spender
CUST00635,Premium Loyalist
CUST00517,Deal Seeker
CUST01429,Occasional Big Spender
CUST01748,Digital Regular
CUST00598,Digital Regular
CUST00196,Premium Loyalist
CUST01784,Premium Loyalist
CUST00870,Deal Seeker
CUST00411,Digital Regular
CUST00097,Deal Seeker
CUST01001,Premium Loyalist
CUST01506,Digital Regular
CUST00157,Deal Seeker
CUST00420,Disengaged
CUST01803,Premium Loyalist
CUST00478,Digital Regular
CUST01856,Disengaged
CUST00669,Deal Seeker
CUST01418,Digital Regular
CUST01872,Digital Regular
CUST01300,Deal Seeker
CUST00448,Digital Regular
CUST00554,Disengaged
CUST00179,Disengaged
CUST00391,Digital Regular
CUST00579,Disengaged
CUST01478,Disengaged
CUST01707,Premium Loyalist
CUST01288,Deal Seeker
CUST01645,Deal Seeker
CUST01024,Digital Regular
CUST00821,Premium Loyalist
CUST01825,Occasional Big Spender
CUST00985,Premium Loyalist
CUST01339,Disengaged
CUST00665,Deal Seeker
CUST00143,Disengaged
CUST01517,Premium Loyalist
CUST01430,Digital Regular
CUST00865,Premium Loyalist
CUST00422,Premium Loyalist
CUST00637,Occasional Big Spender
CUST01407,Disengaged
CUST00800,Occasional Big Spender
CUST01404,Deal Seeker
CUST00616,Occasional Big Spender
CUST00295,Disengaged
CUST00924,Digital Regular
CUST01269,Digital Regular
CUST01903,Disengaged
CUST00089,Premium Loyalist
CUST00042,Disengaged
CUST01802,Digital Regular
CUST01934,Disengaged
CUST00132,Disengaged
CUST01002,Digital Regular
CUST01158,Premium Loyalist
CUST01095,Digital Regular
CUST01855,Disengaged
CUST01345,Disengaged
CUST01499,Deal Seeker
CUST00165,Digital Regular
CUST00725,Premium Loyalist
CUST00291,Disengaged
CUST01209,Deal Seeker
CUST01589,Deal Seeker
CUST01897,Digital Regular
CUST01642,Premium Loyalist
CUST01362,Deal Seeker
CUST00779,Occasional Big Spender
CUST00840,Digital Regular
CUST00349,Digital Regular
CUST01945,Disengaged
CUST00572,Disengaged
CUST00918,Premium Loyalist
CUST00977,Digital Regular
CUST01914,Digital Regular
CUST01469,Occasional Big Spender
CUST01592,Premium Loyalist
CUST01318,Premium Loyalist
CUST01845,Premium Loyalist
CUST00137,Disengaged
CUST00459,Occasional Big Spender
CUST00376,Premium Loyalist
CUST01343,Digital Regular
CUST00334,Disengaged
CUST01160,Occasional Big Spender
CUST01761,Deal Seeker
CUST01458,Digital Regular
CUST00817,Disengaged
CUST01115,Disengaged
CUST01006,Deal Seeker
CUST01857,Deal Seeker
CUST01955,Disengaged
CUST01851,Deal Seeker
CUST00911,Occasional Big Spender
CUST01930,Digital Regular
CUST01126,Digital Regular
CUST00329,Digital Regular
CUST01248,Deal Seeker
CUST00319,Deal Seeker
CUST01690,Deal Seeker
CUST01359,Occasional Big Spender
CUST01733,Occasional Big Spender
CUST00168,Disengaged
CUST00013,Digital Regular
CUST01927,Deal Seeker
CUST00172,Digital Regular
CUST00650,Premium Loyalist
CUST01062,Digital Regular
CUST00261,Premium Loyalist
CUST01367,Deal Seeker
CUST01549,Deal Seeker
CUST00902,Deal Seeker
CUST00673,Disengaged
CUST00259,Premium Loyalist
CUST00845,Premium Loyalist
CUST00868,Occasional Big Spender
CUST01800,Digital Regular
CUST00139,Occasional Big Spender
CUST00894,Premium Loyalist
CUST01838,Digital Regular
CUST00550,Digital Regular
CUST00320,Disengaged
CUST01527,Deal Seeker
CUST01806,Occasional Big Spender
CUST01178,Deal Seeker
CUST00559,Digital Regular
CUST00140,Premium Loyalist
CUST01735,Disengaged
CUST00532,Occasional Big Spender
CUST00225,Deal Seeker
CUST00724,Disengaged
CUST00787,Disengaged
CUST01718,Digital Regular
CUST01008,Deal Seeker
CUST00410,Disengaged
CUST00326,Digital Regular
CUST01766,Premium Loyalist
CUST00300,Digital Regular
CUST01263,Deal Seeker
CUST01946,Disengaged
CUST00026,Deal Seeker
CUST01859,Deal Seeker
CUST00715,Occasional Big Spender
CUST01010,Digital Regular
CUST00194,Disengaged
CUST00441,Disengaged
CUST00574,Occasional Big Spender
CUST00947,Occasional Big Spender
CUST00998,Premium Loyalist
CUST00504,Digital Regular
CUST00606,Occasional Big Spender
CUST01717,Deal Seeker
CUST01164,Premium Loyalist
CUST01787,Deal Seeker
CUST00847,Deal Seeker
